"","participant","session","expName","psychopyVersion","block_num","trial_num","corr","resp","rt","task","magnitude","num_big","has_neg","block_type","stim_name","stim_spec","enc_stimname","corr_key","encret_corr"
"1","6",1,"RetGoals_V1","2022.2.4",1,1,0,NA,NA,"Retrieval",NA,NA,NA,"40","1_192.jpg","building","Encod_Stim.192.jpeg",4,NA
"2","6",1,"RetGoals_V1","2022.2.4",1,1,0,2,0.811163285000191,"Encoding",NA,NA,NA,"40","Encod_Stim.268.jpeg","vehicle","",3,0
"3","6",1,"RetGoals_V1","2022.2.4",1,1,0,2,1.20511736399999,"External",1,8,NA,"40","ExAttn_Stim.268.jpeg","diamonds","",4,NA
"4","6",1,"RetGoals_V1","2022.2.4",1,1,0,NA,NA,"Internal",2,NA,0,"40","InternTask.268.jpeg","subsub","",4,NA
"5","6",1,"RetGoals_V1","2022.2.4",2,1,0,1,1.16928938400014,"Retrieval",NA,NA,NA,"40","1_230.jpg","fruit","Encod_Stim.230.jpeg",2,NA
"6","6",1,"RetGoals_V1","2022.2.4",2,1,1,2,1.02940817500001,"Encoding",NA,NA,NA,"40","Encod_Stim.033.jpeg","vehicle","",2,0
"7","6",1,"RetGoals_V1","2022.2.4",2,1,1,4,0.592640986000049,"External",2,7,NA,"40","ExAttn_Stim.033.jpeg","circles","",4,NA
"8","6",1,"RetGoals_V1","2022.2.4",2,1,1,4,1.33025646800019,"Internal",2,NA,0,"40","InternTask.033.jpeg","addadd","",4,NA
"9","6",1,"RetGoals_V1","2022.2.4",3,1,1,4,0.902568545000065,"Retrieval",NA,NA,NA,"40","1_91.jpg","building","Encod_Stim.091.jpeg",4,NA
"10","6",1,"RetGoals_V1","2022.2.4",3,1,1,3,1.20493830900017,"Encoding",NA,NA,NA,"40","Encod_Stim.299.jpeg","vehicle","",3,0
"11","6",1,"RetGoals_V1","2022.2.4",3,1,0,4,0.970337698000037,"External",0,8,NA,"40","ExAttn_Stim.299.jpeg","diamonds","",3,NA
"12","6",1,"RetGoals_V1","2022.2.4",3,1,0,2,1.14458049900026,"Internal",0,NA,0,"40","InternTask.299.jpeg","subsub","",3,NA
"13","6",1,"RetGoals_V1","2022.2.4",4,1,1,4,0.617053369000075,"Retrieval",NA,NA,NA,"40","1_175.jpg","building","Encod_Stim.175.jpeg",4,NA
"14","6",1,"RetGoals_V1","2022.2.4",4,1,0,NA,NA,"Encoding",NA,NA,NA,"40","Encod_Stim.257.jpeg","building","",3,0
"15","6",1,"RetGoals_V1","2022.2.4",4,1,0,3,1.33958238999998,"External",2,8,NA,"40","ExAttn_Stim.257.jpeg","diamonds","",2,NA
"16","6",1,"RetGoals_V1","2022.2.4",4,1,0,3,0.349491256999897,"Internal",2,NA,0,"40","InternTask.257.jpeg","subsub","",4,NA
"17","6",1,"RetGoals_V1","2022.2.4",5,1,1,2,1.2686467390003,"Retrieval",NA,NA,NA,"40","1_6.jpg","fruit","Encod_Stim.006.jpeg",2,NA
"18","6",1,"RetGoals_V1","2022.2.4",5,1,1,4,0.421260431999997,"Encoding",NA,NA,NA,"40","Encod_Stim.101.jpeg","fruit","",4,1
"19","6",1,"RetGoals_V1","2022.2.4",5,1,0,2,0.64152998000003,"External",0,5,NA,"40","ExAttn_Stim.101.jpeg","triangles","",3,NA
"20","6",1,"RetGoals_V1","2022.2.4",5,1,0,3,1.2568597519998,"Internal",2,NA,0,"40","InternTask.101.jpeg","addsub","",4,NA
"21","6",1,"RetGoals_V1","2022.2.4",6,1,1,2,0.672795914000233,"Retrieval",NA,NA,NA,"10","1_221.jpg","fruit","Encod_Stim.221.jpeg",2,NA
"22","6",1,"RetGoals_V1","2022.2.4",6,1,1,3,0.85243238400011,"Encoding",NA,NA,NA,"10","Encod_Stim.300.jpeg","vehicle","",3,0
"23","6",1,"RetGoals_V1","2022.2.4",6,1,0,4,1.2353344980001,"External",0,8,NA,"10","ExAttn_Stim.300.jpeg","diamonds","",3,NA
"24","6",1,"RetGoals_V1","2022.2.4",6,1,1,3,0.841345447000037,"Internal",0,NA,0,"10","InternTask.300.jpeg","subsub","",3,NA
"25","6",1,"RetGoals_V1","2022.2.4",7,1,0,1,1.31203976299997,"Retrieval",NA,NA,NA,"10","1_88.jpg","building","Encod_Stim.088.jpeg",4,NA
"26","6",1,"RetGoals_V1","2022.2.4",7,1,0,1,0.564990633999912,"Encoding",NA,NA,NA,"10","Encod_Stim.029.jpeg","fruit","",2,1
"27","6",1,"RetGoals_V1","2022.2.4",7,1,0,NA,NA,"External",1,8,NA,"10","ExAttn_Stim.029.jpeg","circles","",4,NA
"28","6",1,"RetGoals_V1","2022.2.4",7,1,1,4,0.702275651999969,"Internal",2,NA,0,"10","InternTask.029.jpeg","addadd","",4,NA
"29","6",1,"RetGoals_V1","2022.2.4",8,1,1,3,0.703242795000676,"Retrieval",NA,NA,NA,"10","1_59.jpg","vehicle","Encod_Stim.059.jpeg",3,NA
"30","6",1,"RetGoals_V1","2022.2.4",8,1,1,2,1.13585826799948,"Encoding",NA,NA,NA,"10","Encod_Stim.021.jpeg","fruit","",2,0
"31","6",1,"RetGoals_V1","2022.2.4",8,1,1,4,0.618779703000143,"External",1,6,NA,"10","ExAttn_Stim.021.jpeg","circles","",4,NA
"32","6",1,"RetGoals_V1","2022.2.4",8,1,0,NA,NA,"Internal",2,NA,0,"10","InternTask.021.jpeg","addadd","",2,NA
"33","6",1,"RetGoals_V1","2022.2.4",9,1,1,2,1.23399022899952,"Retrieval",NA,NA,NA,"10","1_213.jpg","fruit","Encod_Stim.213.jpeg",2,NA
"34","6",1,"RetGoals_V1","2022.2.4",9,1,1,3,1.1545864250001,"Encoding",NA,NA,NA,"10","Encod_Stim.261.jpeg","building","",3,0
"35","6",1,"RetGoals_V1","2022.2.4",9,1,1,4,1.25938011400007,"External",1,6,NA,"10","ExAttn_Stim.261.jpeg","diamonds","",4,NA
"36","6",1,"RetGoals_V1","2022.2.4",9,1,1,4,0.612459626000543,"Internal",2,NA,0,"10","InternTask.261.jpeg","subsub","",4,NA
"37","6",1,"RetGoals_V1","2022.2.4",10,1,1,3,1.10597161300024,"Retrieval",NA,NA,NA,"10","1_34.jpg","vehicle","Encod_Stim.034.jpeg",3,NA
"38","6",1,"RetGoals_V1","2022.2.4",10,1,0,1,1.22432761300018,"Encoding",NA,NA,NA,"10","Encod_Stim.149.jpeg","vehicle","",4,1
"39","6",1,"RetGoals_V1","2022.2.4",10,1,0,3,1.38600437700001,"External",1,8,NA,"10","ExAttn_Stim.149.jpeg","squares","",4,NA
"40","6",1,"RetGoals_V1","2022.2.4",10,1,1,3,0.444369843000402,"Internal",0,NA,0,"10","InternTask.149.jpeg","addsub","",3,NA
"41","6",1,"RetGoals_V1","2022.2.4",1,2,0,1,0.90586732100013,"Retrieval",NA,NA,NA,"40","1_66.jpg","vehicle","Encod_Stim.066.jpeg",3,NA
"42","6",1,"RetGoals_V1","2022.2.4",1,2,0,2,0.10672092700014,"Encoding",NA,NA,NA,"40","Encod_Stim.145.jpeg","vehicle","",4,1
"43","6",1,"RetGoals_V1","2022.2.4",1,2,0,2,0.665748382000061,"External",1,7,NA,"40","ExAttn_Stim.145.jpeg","squares","",4,NA
"44","6",1,"RetGoals_V1","2022.2.4",1,2,1,3,1.42198466200006,"Internal",0,NA,0,"40","InternTask.145.jpeg","addsub","",3,NA
"45","6",1,"RetGoals_V1","2022.2.4",2,2,0,NA,NA,"Retrieval",NA,NA,NA,"40","1_139.jpg","vehicle","Encod_Stim.139.jpeg",3,NA
"46","6",1,"RetGoals_V1","2022.2.4",2,2,0,4,1.02086555800014,"Encoding",NA,NA,NA,"40","Encod_Stim.259.jpeg","building","",3,0
"47","6",1,"RetGoals_V1","2022.2.4",2,2,0,3,0.813805519999903,"External",2,8,NA,"40","ExAttn_Stim.259.jpeg","diamonds","",2,NA
"48","6",1,"RetGoals_V1","2022.2.4",2,2,1,4,1.15914124700015,"Internal",6,NA,0,"40","InternTask.259.jpeg","subsub","",4,NA
"49","6",1,"RetGoals_V1","2022.2.4",3,2,1,4,1.11043919800017,"Retrieval",NA,NA,NA,"40","1_82.jpg","building","Encod_Stim.082.jpeg",4,NA
"50","6",1,"RetGoals_V1","2022.2.4",3,2,1,4,1.44402952099966,"Encoding",NA,NA,NA,"40","Encod_Stim.191.jpeg","building","",4,1
"51","6",1,"RetGoals_V1","2022.2.4",3,2,0,NA,NA,"External",2,7,NA,"40","ExAttn_Stim.191.jpeg","stars","",2,NA
"52","6",1,"RetGoals_V1","2022.2.4",3,2,1,4,0.558556762000023,"Internal",15,NA,1,"40","InternTask.191.jpeg","subadd","",4,NA
"53","6",1,"RetGoals_V1","2022.2.4",4,2,1,3,0.323612327999797,"Retrieval",NA,NA,NA,"40","1_52.jpg","vehicle","Encod_Stim.052.jpeg",3,NA
"54","6",1,"RetGoals_V1","2022.2.4",4,2,1,3,0.466878877999932,"Encoding",NA,NA,NA,"40","Encod_Stim.249.jpeg","building","",3,0
"55","6",1,"RetGoals_V1","2022.2.4",4,2,0,NA,NA,"External",1,8,NA,"40","ExAttn_Stim.249.jpeg","diamonds","",2,NA
"56","6",1,"RetGoals_V1","2022.2.4",4,2,1,2,1.20391691300023,"Internal",3,NA,0,"40","InternTask.249.jpeg","subsub","",2,NA
"57","6",1,"RetGoals_V1","2022.2.4",5,2,1,3,0.383230624000078,"Retrieval",NA,NA,NA,"40","1_60.jpg","vehicle","Encod_Stim.060.jpeg",3,NA
"58","6",1,"RetGoals_V1","2022.2.4",5,2,1,3,0.324813207000204,"Encoding",NA,NA,NA,"40","Encod_Stim.245.jpeg","building","",3,0
"59","6",1,"RetGoals_V1","2022.2.4",5,2,0,3,1.42754668600031,"External",1,7,NA,"40","ExAttn_Stim.245.jpeg","diamonds","",2,NA
"60","6",1,"RetGoals_V1","2022.2.4",5,2,1,2,0.6586407879999,"Internal",4,NA,2,"40","InternTask.245.jpeg","subsub","",2,NA
"61","6",1,"RetGoals_V1","2022.2.4",6,2,1,3,0.650413718999914,"Retrieval",NA,NA,NA,"10","1_138.jpg","vehicle","Encod_Stim.138.jpeg",3,NA
"62","6",1,"RetGoals_V1","2022.2.4",6,2,1,2,0.613736726999775,"Encoding",NA,NA,NA,"10","Encod_Stim.057.jpeg","vehicle","",2,1
"63","6",1,"RetGoals_V1","2022.2.4",6,2,0,2,0.0931651169998418,"External",0,8,NA,"10","ExAttn_Stim.057.jpeg","circles","",3,NA
"64","6",1,"RetGoals_V1","2022.2.4",6,2,1,3,0.42608554300017,"Internal",0,NA,0,"10","InternTask.057.jpeg","addadd","",3,NA
"65","6",1,"RetGoals_V1","2022.2.4",7,2,0,NA,NA,"Retrieval",NA,NA,NA,"10","1_291.jpg","vehicle","Encod_Stim.291.jpeg",4,NA
"66","6",1,"RetGoals_V1","2022.2.4",7,2,0,1,0.555984102999844,"Encoding",NA,NA,NA,"10","Encod_Stim.088.jpeg","building","",2,0
"67","6",1,"RetGoals_V1","2022.2.4",7,2,0,3,0.325358288000132,"External",1,8,NA,"10","ExAttn_Stim.088.jpeg","triangles","",4,NA
"68","6",1,"RetGoals_V1","2022.2.4",7,2,1,2,0.174675927000351,"Internal",12,NA,1,"10","InternTask.088.jpeg","addsub","",2,NA
"69","6",1,"RetGoals_V1","2022.2.4",8,2,1,4,0.319479576999527,"Retrieval",NA,NA,NA,"10","1_200.jpg","building","Encod_Stim.200.jpeg",4,NA
"70","6",1,"RetGoals_V1","2022.2.4",8,2,0,NA,NA,"Encoding",NA,NA,NA,"10","Encod_Stim.059.jpeg","vehicle","",2,1
"71","6",1,"RetGoals_V1","2022.2.4",8,2,1,3,0.910530670000242,"External",0,8,NA,"10","ExAttn_Stim.059.jpeg","circles","",3,NA
"72","6",1,"RetGoals_V1","2022.2.4",8,2,0,4,1.21730759100041,"Internal",0,NA,0,"10","InternTask.059.jpeg","addadd","",3,NA
"73","6",1,"RetGoals_V1","2022.2.4",9,2,1,2,0.372133841000448,"Retrieval",NA,NA,NA,"10","1_121.jpg","fruit","Encod_Stim.121.jpeg",2,NA
"74","6",1,"RetGoals_V1","2022.2.4",9,2,1,2,1.39271403000015,"Encoding",NA,NA,NA,"10","Encod_Stim.079.jpeg","building","",2,1
