EALoadLoop.thisRepN,EALoadLoop.thisTrialN,EALoadLoop.thisN,EALoadLoop.thisIndex,EncLoadLoop.thisRepN,EncLoadLoop.thisTrialN,EncLoadLoop.thisN,EncLoadLoop.thisIndex,IALoadLoop.thisRepN,IALoadLoop.thisTrialN,IALoadLoop.thisN,IALoadLoop.thisIndex,RetLoadLoop.thisRepN,RetLoadLoop.thisTrialN,RetLoadLoop.thisN,RetLoadLoop.thisIndex,EAPractice2Trials.thisRepN,EAPractice2Trials.thisTrialN,EAPractice2Trials.thisN,EAPractice2Trials.thisIndex,welcomeText.started,welcomeKey.started,welcomeKey.keys,welcomeKey.rt,welcomeText2.started,welcomeKey2.started,welcomeKey2.keys,welcomeKey2.rt,EAPracticeText1.started,EAPracticeText2.started,EAPracticeRespText.started,EAPracticeKey.started,EAPracticeKey.keys,EAPracticeKey.rt,EAPractice2Text.started,EAPractice2Key.started,EAPractice2Key.keys,EAPractice2Key.rt,corr_key,stim_name,magnitude,stim_spec,num_big,EAPractice1Text1.started,EAPractice1Stim.started,EAPractice1Resp.started,EAPractice1Text2.started,EAPractice1Resp.keys,EAPractice1Resp.corr,EAPractice1Resp.rt,EAPostPractice1Text.started,EAPostPractice1Resp.started,EAPostPractice1Resp.keys,EAPostPractice1Resp.rt,FixCross.started,FixCross.stopped,EATrialText1.started,EATrialStim.started,EATrialText2.started,EATrialResp.started,EATrialResp.keys,EATrialResp.corr,EATrialResp.rt,EAPracticeEndText.started,EAPracticeEndKey.started,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,10.68545525,10.68545525,space,1.426410459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,12.168795,12.168795,1,2.417040917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.60781592,14.60781592,14.60781592,14.60781592,space,0.98945025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62332087,15.62332087,1,0.896537125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.091.jpeg,2,triangles,7,16.59640683,16.59640683,16.59640683,18.03427842,2,0,2.627559709,,,,,,,,,,,,,,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.25870292,19.25870292,1,1.874824667,,,,,,,,,,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,3,ExAttn_Stim.286.jpeg,0,diamonds,6,,,,,,,,,,,,21.16699304,21.72646492,21.72646492,21.72646492,23.16739296,23.16739296,3,1,0.9571715,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,2,ExAttn_Stim.242.jpeg,1,diamonds,6,,,,,,,,,,,,24.15648042,,24.70811212,24.70811212,26.1572455,26.1572455,3,0,0.509520167,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,3,ExAttn_Stim.224.jpeg,0,stars,5,,,,,,,,,,,,26.68933917,27.20437412,27.20437412,27.20437412,28.66552783,28.66552783,3,1,0.81355225,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,2,ExAttn_Stim.260.jpeg,2,diamonds,8,,,,,,,,,,,,29.500655,30.02651988,30.02651988,30.02651988,31.49895021,31.49895021,2,1,0.613246209,,,0,1,2025-02-18_13h43.47.591,RetGoals_V1,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.13412475,32.13412475,,,,,,
