EALoadLoop.thisRepN,EALoadLoop.thisTrialN,EALoadLoop.thisN,EALoadLoop.thisIndex,EncLoadLoop.thisRepN,EncLoadLoop.thisTrialN,EncLoadLoop.thisN,EncLoadLoop.thisIndex,IALoadLoop.thisRepN,IALoadLoop.thisTrialN,IALoadLoop.thisN,IALoadLoop.thisIndex,RetLoadLoop.thisRepN,RetLoadLoop.thisTrialN,RetLoadLoop.thisN,RetLoadLoop.thisIndex,EAPractice2Trials.thisRepN,EAPractice2Trials.thisTrialN,EAPractice2Trials.thisN,EAPractice2Trials.thisIndex,IAPractice2Trials.thisRepN,IAPractice2Trials.thisTrialN,IAPractice2Trials.thisN,IAPractice2Trials.thisIndex,EncPractice2Trials.thisRepN,EncPractice2Trials.thisTrialN,EncPractice2Trials.thisN,EncPractice2Trials.thisIndex,welcomeText.started,welcomeKey.started,welcomeKey.keys,welcomeKey.rt,welcomeText2.started,welcomeKey2.started,welcomeKey2.keys,welcomeKey2.rt,EAPracticeText1.started,EAPracticeText2.started,EAPracticeRespText.started,EAPracticeKey.started,EAPracticeKey.keys,EAPracticeKey.rt,EAPractice2Text.started,EAPractice2Key.started,EAPractice2Key.keys,EAPractice2Key.rt,corr_key,stim_name,magnitude,stim_spec,num_big,EAPractice1Text1.started,EAPractice1Stim.started,EAPractice1Resp.started,EAPractice1Text2.started,EAPractice1Resp.keys,EAPractice1Resp.corr,EAPractice1Resp.rt,EAPostPractice1Text.started,EAPostPractice1Resp.started,EAPostPractice1Resp.keys,EAPostPractice1Resp.rt,FixCross.started,FixCross.stopped,EATrialText1.started,EATrialStim.started,EATrialText2.started,EATrialResp.started,EATrialResp.keys,EATrialResp.corr,EATrialResp.rt,EAPracticeEndText.started,EAPracticeEndKey.started,EAPracticeEndKey.keys,EAPracticeEndKey.rt,IAPracticeInstructions1Text1.started,IAPracticeInstructions1Text2.started,IAPracticeInstructions1RespText.started,IAPracticeInstructions1Resp.started,IAPracticeInstructions1Resp.keys,IAPracticeInstructions1Resp.rt,IAPracticeInstructions2Text.started,IAPracticeInstructions2Resp.started,IAPracticeInstructions2Resp.keys,IAPracticeInstructions2Resp.rt,has_neg,IAPractice1Stim.started,IAPractice1Resp.started,IAPractice1Text1.started,IAPractice1Resp.keys,IAPractice1Resp.corr,IAPractice1Resp.rt,IAPractice1Feedback.started,IAPostPractice1Resp.started,IAPostPractice1Resp.keys,IAPostPractice1Resp.rt,IATrialStim.started,IATrialRespText.started,IATrialResp.started,IATrialResp.keys,IATrialResp.corr,IATrialResp.rt,IAPracticeEndText.started,IAPracticeEndResp.started,IAPracticeEndResp.keys,IAPracticeEndResp.rt,EncPracticeInstructionsText1.started,EncPracticeInstructionsText2.started,EncPracticeInstructionsRespText.started,EncPracticeInstructionsResp.started,EncPracticeInstructionsResp.keys,EncPracticeInstructionsResp.rt,EncPracticeInstructions2Text.started,EncPracticeInstructions2Resp.started,EncPracticeInstructions2Resp.keys,EncPracticeInstructions2Resp.rt,EncPractice1Stim.started,EncPractice1RespView.started,EncPractice1Resp.started,EncPractice1RespText.started,EncPractice1Resp.keys,EncPractice1Resp.corr,EncPractice1Resp.rt,EncPractice1Feedback.started,EncPractice1FeedbackResp.started,EncPractice1FeedbackResp.keys,EncPractice1FeedbackResp.rt,EncImage.started,EncTrialRespView.started,EncTrialRespText.started,EncTrialResp.started,EncTrialResp.keys,EncTrialResp.corr,EncTrialResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.524910209001973,10.524910209001973,space,1.228260500007309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.804736249992857,11.804736249992857,1,1.498928375018295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.336007417005021,13.336007417005021,13.336007417005021,13.336007417005021,space,0.6425464579951949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99669429200003,13.99669429200003,1,0.9257322079793084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.076.jpeg,2,triangles,8,15.000783708994277,15.000783708994277,15.000783708994277,16.430032208998455,3,0,1.789590375003172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.83895220901468,16.83895220901468,1,1.2807634999917354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ExAttn_Stim.119.jpeg,0,triangles,8,,,,,,,,,,,,18.135538375005126,18.681443959008902,18.681443959008902,18.681443959008902,20.131111209018854,20.131111209018854,2,1,0.3260435829870403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ExAttn_Stim.004.jpeg,1,circles,7,,,,,,,,,,,,20.486452084005577,,21.02175400001579,21.02175400001579,22.462855000019772,22.462855000019772,4,0,0.38078345797839575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ExAttn_Stim.090.jpeg,1,triangles,8,,,,,,,,,,,,22.868692624993855,23.404039750021184,23.404039750021184,23.404039750021184,24.86297304200707,24.86297304200707,2,1,0.27481558299041353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.068.jpeg,1,triangles,8,,,,,,,,,,,,25.16906679200474,25.70039320900105,25.70039320900105,25.70039320900105,27.162708084011683,27.162708084011683,3,0,0.3598574589996133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.55278066699975,27.55278066699975,1,1.3419784590078052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.919726374995662,28.919726374995662,28.919726374995662,28.919726374995662,space,1.2800663750094827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2192573340144,30.2192573340144,1,0.8586006670084316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.076.jpeg,9,addsub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31.14970820900635,31.14970820900635,32.597916291997535,3,1,1.8179171249794308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.025151834008284,33.025151834008284,1,1.1122504170052707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.119.jpeg,1,addsub,,,,,,,,,,,,,34.16230666701449,34.71081099999719,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,34.71081099999719,36.16349412500858,36.16349412500858,2,1,0.3592518340155948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.004.jpeg,6,addadd,,,,,,,,,,,,,36.553068250010256,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,37.09813470899826,38.5368532089924,38.5368532089924,4,1,0.2831377910042647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.090.jpeg,14,addsub,,,,,,,,,,,,,38.836028125020675,39.368025834002765,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,39.368025834002765,40.82948400001624,40.82948400001624,2,1,0.32792583300033584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.068.jpeg,0,addadd,,,,,,,,,,,,,41.186225084005855,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,41.71180779201677,43.16302687500138,43.16302687500138,2,1,0.3352677499933634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.529545500001404,43.529545500001404,1,1.4757236250152346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.03817645899835,45.03817645899835,45.03817645899835,45.03817645899835,space,1.2037574580172077,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.26399912501802,46.26399912501802,1,0.9909545409900602,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Encod_Stim.076.jpeg,,building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.318303250009194,48.78155124999466,48.78155124999466,48.78155124999466,4,1,0.4528629589767661,,,,,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.28343108401168,49.28343108401168,1,4.902678250015015,,,,,,,,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,2,Encod_Stim.119.jpeg,,fruit,,,,,,,,,,,,,54.202700624999125,54.752251208992675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.752251208992675,56.20938116702018,56.20938116702018,56.20938116702018,2,1,0.47322070799418725,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,4,Encod_Stim.004.jpeg,,fruit,,,,,,,,,,,,,57.700938750000205,58.239036750019295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.239036750019295,59.709402750013396,59.709402750013396,59.709402750013396,4,1,0.5516574580105953,999,001,2025-02-18_09h26.00.022,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Encod_Stim.090.jpeg,,building,,,,,,,,,,,,,61.20093195899972,61.742691459017806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.742691459017806,,,,,,,,,,,,,
