EALoadLoop.thisRepN,EALoadLoop.thisTrialN,EALoadLoop.thisN,EALoadLoop.thisIndex,EncLoadLoop.thisRepN,EncLoadLoop.thisTrialN,EncLoadLoop.thisN,EncLoadLoop.thisIndex,IALoadLoop.thisRepN,IALoadLoop.thisTrialN,IALoadLoop.thisN,IALoadLoop.thisIndex,RetLoadLoop.thisRepN,RetLoadLoop.thisTrialN,RetLoadLoop.thisN,RetLoadLoop.thisIndex,EAPractice2Trials.thisRepN,EAPractice2Trials.thisTrialN,EAPractice2Trials.thisN,EAPractice2Trials.thisIndex,IAPractice2Trials.thisRepN,IAPractice2Trials.thisTrialN,IAPractice2Trials.thisN,IAPractice2Trials.thisIndex,EncPractice2Trials.thisRepN,EncPractice2Trials.thisTrialN,EncPractice2Trials.thisN,EncPractice2Trials.thisIndex,RetPractice2Trials.thisRepN,RetPractice2Trials.thisTrialN,RetPractice2Trials.thisN,RetPractice2Trials.thisIndex,Blocks40.thisRepN,Blocks40.thisTrialN,Blocks40.thisN,Blocks40.thisIndex,EATrialsBlocks40.thisRepN,EATrialsBlocks40.thisTrialN,EATrialsBlocks40.thisN,EATrialsBlocks40.thisIndex,EncTrialsBlocks40.thisRepN,EncTrialsBlocks40.thisTrialN,EncTrialsBlocks40.thisN,EncTrialsBlocks40.thisIndex,IATrialsBlocks40.thisRepN,IATrialsBlocks40.thisTrialN,IATrialsBlocks40.thisN,IATrialsBlocks40.thisIndex,RetTrialsBlocks40.thisRepN,RetTrialsBlocks40.thisTrialN,RetTrialsBlocks40.thisN,RetTrialsBlocks40.thisIndex,Blocks10.thisRepN,Blocks10.thisTrialN,Blocks10.thisN,Blocks10.thisIndex,EATrialsBlocks10.thisRepN,EATrialsBlocks10.thisTrialN,EATrialsBlocks10.thisN,EATrialsBlocks10.thisIndex,EncTrialsBlocks10.thisRepN,EncTrialsBlocks10.thisTrialN,EncTrialsBlocks10.thisN,EncTrialsBlocks10.thisIndex,IATrialsBlocks10.thisRepN,IATrialsBlocks10.thisTrialN,IATrialsBlocks10.thisN,IATrialsBlocks10.thisIndex,RetTrialsBlocks10.thisRepN,RetTrialsBlocks10.thisTrialN,RetTrialsBlocks10.thisN,RetTrialsBlocks10.thisIndex,welcomeText.started,welcomeKey.started,welcomeKey.keys,welcomeKey.rt,welcomeText2.started,welcomeKey2.started,welcomeKey2.keys,welcomeKey2.rt,EAPracticeText1.started,EAPracticeText2.started,EAPracticeRespText.started,EAPracticeKey.started,EAPracticeKey.keys,EAPracticeKey.rt,EAPractice2Text.started,EAPractice2Key.started,EAPractice2Key.keys,EAPractice2Key.rt,corr_key,stim_name,magnitude,stim_spec,num_big,EAPractice1Text1.started,EAPractice1Stim.started,EAPractice1Resp.started,EAPractice1Text2.started,EAPractice1Resp.keys,EAPractice1Resp.corr,EAPractice1Resp.rt,EAPostPractice1Text.started,EAPostPractice1Resp.started,EAPostPractice1Resp.keys,EAPostPractice1Resp.rt,FixCross.started,FixCross.stopped,EATrialText1.started,EATrialStim.started,EATrialText2.started,EATrialResp.started,EATrialText2.stopped,EATrialResp.stopped,EATrialResp.keys,EATrialResp.corr,EATrialResp.rt,EAPracticeEndText.started,EAPracticeEndKey.started,EAPracticeEndKey.keys,EAPracticeEndKey.rt,IAPracticeInstructions1Text1.started,IAPracticeInstructions1Text2.started,IAPracticeInstructions1RespText.started,IAPracticeInstructions1Resp.started,IAPracticeInstructions1Resp.keys,IAPracticeInstructions1Resp.rt,IAPracticeInstructions2Text.started,IAPracticeInstructions2Resp.started,IAPracticeInstructions2Resp.keys,IAPracticeInstructions2Resp.rt,has_neg,IAPractice1Stim.started,IAPractice1Resp.started,IAPractice1Text1.started,IAPractice1Resp.keys,IAPractice1Resp.corr,IAPractice1Resp.rt,IAPractice1Feedback.started,IAPostPractice1Resp.started,IAPostPractice1Resp.keys,IAPostPractice1Resp.rt,IATrialStim.started,IATrialRespText.started,IATrialResp.started,IATrialResp.keys,IATrialResp.corr,IATrialResp.rt,IATrialRespText.stopped,IATrialResp.stopped,IAPracticeEndText.started,IAPracticeEndResp.started,IAPracticeEndResp.keys,IAPracticeEndResp.rt,EncPracticeInstructionsText1.started,EncPracticeInstructionsText2.started,EncPracticeInstructionsRespText.started,EncPracticeInstructionsResp.started,EncPracticeInstructionsResp.keys,EncPracticeInstructionsResp.rt,EncPracticeInstructions2Text.started,EncPracticeInstructions2Resp.started,EncPracticeInstructions2Resp.keys,EncPracticeInstructions2Resp.rt,EncPractice1Stim.started,EncPractice1Resp.started,EncPractice1RespText.started,EncPractice1Resp.keys,EncPractice1Resp.corr,EncPractice1Resp.rt,EncPractice1Feedback.started,EncPractice1FeedbackResp.started,EncPractice1FeedbackResp.keys,EncPractice1FeedbackResp.rt,EncImage.started,EncTrialRespText.started,EncTrialResp.started,EncTrialRespText.stopped,EncTrialResp.stopped,EncTrialResp.keys,EncTrialResp.corr,EncTrialResp.rt,EncPracticeEndText.started,EncPracticeEndResp.started,EncPracticeEndResp.keys,EncPracticeEndResp.rt,RetPracticeInstructionsText1.started,RetPracticeInstructionsText2.started,RetPracticeInstructionsResp.started,RetPracticeInstructions1Berry.started,RetPracticeInstructions1Question.started,RetPracticeInstructions1Truck.started,RetPracticeInstructions1House.started,RetPracticeInstructionsNumGuide1.started,RetPracticeInstructionsNumGuide2.started,RetPracticeInstructionsNumGuide3.started,RetPracticeInstructionsNumGuide4.started,RetPracticeInstructionsResp.keys,RetPracticeInstructionsResp.rt,RetPracticeInstructions2Text.started,RetPracticeInstructions2Resp.started,RetPracticeInstructions2Resp.keys,RetPracticeInstructions2Resp.rt,enc_stimname,RetPractice1Stim.started,RetPractice1Resp.started,RetPractice1Berry.started,RetPractice1Question.started,RetPractice1Truck.started,RetPractice1House.started,RetPractice1Resp.keys,RetPractice1Resp.corr,RetPractice1Resp.rt,RetPostPractice1Text.started,RetPostPractice1Resp.started,RetPostPractice1Resp.keys,RetPostPractice1Resp.rt,RetTrialStim.started,RetTrialResp.started,RetTrialQuestion.started,RetTrialBerry.started,RetTrialTruck.started,RetTrialHouse.started,RetTrialResp.stopped,RetTrialQuestion.stopped,RetTrialBerry.stopped,RetTrialTruck.stopped,RetTrialHouse.stopped,RetTrialResp.keys,RetTrialResp.corr,RetTrialResp.rt,RetPracticeEndText.started,RetPracticeEndResp.started,RetPracticeEndResp.keys,RetPracticeEndResp.rt,EATaskInstructionsText1.started,EATaskInstructionsText2.started,EATaskInstructionsText1.stopped,EATaskInstructionsText2.stopped,EncTaskInstructionsText1.started,EncTaskInstructionsText2.started,IATaskInstructionsText1.started,IATaskInstructionsText2.started,RetTaskInstructionsText1.started,RetTaskInstructionsText2.started,Block1EndText.started,EncTaskInstructionsText1.stopped,EncTaskInstructionsText2.stopped,RetTaskInstructionsText1.stopped,RetTaskInstructionsText2.stopped,Block1EndText.stopped,Block2BreakText.started,Block2BreakKey.started,Block2BreakKey.keys,Block2BreakKey.rt,Block2EndText.started,Block2EndText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37450022600001,20.37450022600001,space,82.44797456100014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.86470219599994,102.86470219599994,1,13.372685355000158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.26239818900001,116.26239818900001,116.26239818900001,116.26239818900001,space,76.35993759300015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.64698042099997,192.64698042099997,1,8.28618748200006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.212.jpeg,2,stars,7,201.10690052299992,201.10690052299992,201.10690052299992,202.44073591300003,2,0,1.9875208030000522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.15891448799994,203.15891448799994,1,15.838637323000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.155.jpeg,2,squares,7,,,,,,,,,,,,219.02638373599996,219.62656393199995,219.62656393199995,219.62656393199995,221.011977741,221.011977741,222.51327425599993,222.51327425599993,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.208.jpeg,1,stars,8,,,,,,,,,,,,222.53021761799994,,223.114419398,223.114419398,224.515788004,224.515788004,226.017438912,226.017438912,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.160.jpeg,2,squares,8,,,,,,,,,,,,226.033935551,,226.56691594400002,226.56691594400002,228.01955971099994,228.01955971099994,229.52131369699998,229.52131369699998,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ExAttn_Stim.154.jpeg,2,squares,7,,,,,,,,,,,,229.537891188,,230.10445469,230.10445469,231.52320091499996,231.52320091499996,,,2,0,1.043609551000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3,001,2025-02-20_11h00.49.833,RetGoals_V1,2022.2.4,59.92120553217125,
